country,domain,first_day_above_hundred,alpha,days,r_s,r_dth,p_dth,r_dthdecay,k1,k2,jump,t_jump,std_normal,k3
Kazakhstan,,2020-03-27,0.2194750939899162,30.172047808315416,15.0,0.109213837617799,0.2499689616996196,1.8437650491710724,3.508470104394961,2.728230566960641,1.2136770278116726,89.87173529946689,79.74196311781998,0.3146581750582422
Reunion,,2020-03-27,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Saint Barthelemy,,2020-11-13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Maldives,,2020-04-24,1.499957971702006,-80.11447146051755,1.0005681388484884,0.1839390583740009,0.0653664226823939,4.498831925087129,1.6432801471373095,4.395971303393126,0.1572297291441587,92.57484953523957,86.4828882872965,0.5728091003300543
Ghana,,2020-03-27,1.5,-9.499238736272911,1.0,0.0904515914230045,0.0240910147519286,0.5788664172081269,3.5151461810358446,0.0010946695451043,1.370812089311345,47.60992829580809,6.820621523961313,0.2296118366985512
Australia,Northern Territory,2021-02-05,0.7845486638308207,5.947988793756915,15.0,0.0400847143157954,0.0185516164479185,2.18256069760905,0.001,0.0155261494681829,5.0,34.31628128493791,1.4574754067850526,0.2059832755405428
Nauru,,2022-06-19,0.1336974042745455,-199.99988727790347,15.0,0.5,0.25,0.725114229583049,5.0,2.273452651003736,5.0,15.57020829013175,0.8176325045274438,2.0
Libya,,2020-05-30,0.432237122100981,-67.25643203596974,3.413513346645158,0.4061760755555237,0.0865139913651813,0.4916716949518513,3.818870230401973,1.2312941422304762,2.608907077523382,108.96016321447507,64.8238941561363,0.3779345280010734
Montserrat,,2022-01-09,0.1,-199.99996193557067,15.0,0.0204968235481728,0.0363927397674094,4.666957252578169,2.685486931054552,0.001,4.827757600187944,271.4868015319912,29.41836802118525,0.2038473314051431
Liberia,,2020-04-20,1.49964563785595,-31.37164897760438,1.7025978529469323,0.2388217212277272,0.0176663356639426,1.8090817209287944,0.6161974358844113,0.0012153801391979,4.550447615681171,63.91385919383968,12.318879268533124,1.0496723463948006
Martinique,,2020-03-30,0.1006903659049982,-199.99572565491096,14.9997476616483,0.4393766490216987,0.0423021010731988,0.3827182800183758,0.0010226474326686,2.081626095102197,4.73847824901933,64.39807977894176,41.0548616608266,0.2000737914253201
Mozambique,,2020-05-12,0.3719928547870018,28.13971987776116,3.457612237777574,0.0249814798907912,0.010705503585994,1.987071032641336,1.9141349309063576,0.0022532570708903,0.0327181461651427,121.54278499925424,89.28229613860259,0.2211487056428061
Guinea,,2020-04-03,0.3503688694808637,16.528014794490772,14.987742475142866,0.0461256635865439,0.1762997053729987,4.184093296434694,2.827442982409506,0.959624009593736,1.3926900358833316,76.25306422743915,50.21324094145623,0.2932655973766621
